rank,agency,symbol,metalValue,metalPoints,efficiencyBonus,efficiency,enteredCases,winningCases,metals,gp,gold,silver,bronze,momentumRank,previousRank,currentRank,baselineValue,latestMetalPoints,sourceNames
1,JOHANNES LEONARDO NEW YORK / ADIDAS LONDON,JLNYA,300,200,100,200.0,1,2,2,2,0,0,0,87,88,1,0,200,JOHANNES LEONARDO | ADIDAS
2,FALLON MINNEAPOLIS,FM,215,115,100,115.0,1,2,2,1,0,1,0,-1,1,2,215,0,FALLON
3,RETHINK CANADA,RC,211,200,11,10.53,19,7,7,1,2,0,4,-1,2,3,211,0,RETHINK
4,DIFFER / COLONY,DC,210,140,70,70.0,2,2,2,1,1,0,0,-1,3,4,210,0,DIFFER
5,ISLE OF ANY NEW YORK / MJZ,IOANY,210,140,70,70.0,2,2,2,1,1,0,0,87,92,5,0,140,ISLE OF ANY | MJZ
6,GUT SÃO PAULO,GSP,205,105,100,105.0,1,2,2,1,0,0,1,-2,4,6,205,0,GUT
7,BBDO PUERTO RICO,BPR,200,100,100,100.0,1,1,1,1,0,0,0,-2,5,7,200,0,BBDO PUERTO RICO
8,MCCANN LIMA,ML,200,100,100,100.0,1,1,1,1,0,0,0,85,93,8,0,100,McCANN LIMA
9,APPLE IN-HOUSE / SOMESUCH,AIHS,160,80,80,80.0,1,2,2,0,2,0,0,87,96,9,0,80,APPLE | SOMESUCH
10,LEO UK,LU,160,120,40,40.0,3,3,3,0,3,0,0,-4,6,10,160,0,LEO
11,DAVID NEW YORK,DNY,157,105,52,52.5,2,2,2,1,0,0,1,79,90,11,0,105,DAVID
12,CANADA BARCELONA / ROSALÍA BARCELONA,CBRB,150,100,50,50.0,2,1,1,1,0,0,0,77,89,12,0,100,CANADA
13,LOLA MULLENLOWE MADRID,LMM,144,140,4,4.24,33,2,2,1,1,0,0,12,25,13,41,100,LOLA
14,BBH NEW YORK,BNY,124,120,4,3.75,32,3,3,0,3,0,0,-7,7,14,124,0,BBH
15,SMUGGLER / UNCOMMON CREATIVE STUDIO,SUCS,114,100,14,14.29,7,1,1,1,0,0,0,-7,8,15,114,0,SMUGGLER
16,LEPUB MILAN / LEPUB SÃO PAULO,LMLSP,110,55,55,55.0,1,2,2,0,1,1,0,-7,9,16,110,0,LEPUB
