agency,source_names,tbwa_slash_convention_applied
JOHANNES LEONARDO NEW YORK / ADIDAS LONDON,JOHANNES LEONARDO | ADIDAS,
FALLON MINNEAPOLIS,FALLON,
RETHINK CANADA,RETHINK,
DIFFER / COLONY,DIFFER,
ISLE OF ANY NEW YORK / MJZ,ISLE OF ANY | MJZ,
GUT SÃO PAULO,GUT,
BBDO PUERTO RICO,BBDO PUERTO RICO,
MCCANN LIMA,McCANN LIMA,
APPLE IN-HOUSE / SOMESUCH,APPLE | SOMESUCH,
LEO UK,LEO,
DAVID NEW YORK,DAVID,
CANADA BARCELONA / ROSALÍA BARCELONA,CANADA,
LOLA MULLENLOWE MADRID,LOLA,
BBH NEW YORK,BBH,
SMUGGLER / UNCOMMON CREATIVE STUDIO,SMUGGLER,
LEPUB MILAN / LEPUB SÃO PAULO,LEPUB,
TBWA / MEDIA ARTS LAB LOS ANGELES,TBWA / MEDIA ARTS LAB,yes
NORD STOCKHOLM,NORD,
GOOGLE CREATIVE TEAM MOUNTAIN VIEW,GOOGLE,
VML UNITED STATES,VML,
TBWA / CANADA TORONTO,TBWA / CANADA,yes
DAVID LONDON,DAVID,
FUTUREBRAND SÃO PAULO,FUTUREBRAND,
LOVELY RIO DE JANEIRO,LOVELY,
AWGE,,
CIRCUS GREY LIMA,CIRCUS GREY,
DAVID BOGOTÁ / DAVID MADRID,DAVID,
GREY MÉXICO CIUDAD DE MÉXICO,GREY,
GUCCI IN-HOUSE / MJZ,MJZ,
HEIMAT / TBWA BERLIN / CANADA / TEMPOMEDIA,HEIMAT / TBWA | CANADA | TEMPOMEDIA,yes
ISLE OF ANY NEW YORK / DAISY CHAIN STUDIO,ISLE OF ANY,
MCCANN NEW YORK,McCANN NEW YORK,
MISCHIEF @ NO FIXED ADDRESS NEW YORK,MISCHIEF AT NO FIXED ADDRESS,
OGILVY / BOLDED / L'ORÉAL,OGILVY | BOLDED | L'OREAL,
OGILVY SHANGHAI,OGILVY,
ON IN-HOUSE / MJZ LOS ANGELES,MJZ,
TBWA / SYDNEY,TBWA / SYDNEY,yes
VML BANGKOK,VML,
VML NEW YORK / VML MADRID,VML,
VML NEW YORK / VML SÃO PAULO / VML MEXICO CITY,VML,
VML POLAND WARSAW,VML,
WIEDEN+KENNEDY MEXICO,WIEDEN+KENNEDY,
PUBLICIS BRASIL,PUBLICIS BRASIL,
UNCOMMON CREATIVE STUDIO UK,UNCOMMON CREATIVE STUDIO,
BETC FRANCE,BETC,
GUT CANADA,GUT,
